id;name;address;managed_by;active;created_by;created_date
1;service-desk Metal backing up;methodical Chips;79427;true;Administrator;2021-02-06
2;Fantastic;Investment Account Money Market Account copy;16422;false;out-of-the-box cross-platform;2021-02-06
3;Western Sahara;Keys;91744;false;Serbia Books asymmetric;2021-02-06
4;Corners blue Small Wooden Pants;Identity;6971;true;El Salvador invoice cross-platform;2021-02-06
5;parse black Tuna;navigating Garden;32389;false;open-source;2021-02-06
6;Optimized Focused;Tuna Computer;62830;false;generate partnerships;2021-02-06
7;Electronics niches granular;Program tertiary;5276;false;interface;2021-02-07
8;Technician Global Ergonomic;backing up;42927;true;Principal;2021-02-06
9;AI Mouse;backing up Zambia;11631;false;Usability;2021-02-06
10;Health;Tasty Steel Tuna Illinois brand;94862;false;Data;2021-02-06
